ProductId,Quantity,Bonus,Price,DiscRatio1,DiscRatio2,STValue,STRatio,TTLValue,TTLSalestax,IsDeleted,UserNo
02278,5300.000000000,0.000000000,12.000000,0.00,0.00,0.00,0.00,63600.000000,0.00,False,
02299,6500.000000000,0.000000000,30.000000,0.00,0.00,0.00,0.00,195000.000000,0.00,False,
02306,190.000000000,0.000000000,210.000000,0.00,0.00,0.00,0.00,39900.000000,0.00,False,
02307,450.000000000,0.000000000,155.000000,0.00,0.00,0.00,0.00,69750.000000,0.00,False,
02312,200.000000000,0.000000000,70.000000,0.00,0.00,0.00,0.00,14000.000000,0.00,False,
02313,6000.000000000,0.000000000,11.500000,0.00,0.00,0.00,0.00,69000.000000,0.00,False,
02315,10800.000000000,0.000000000,30.000000,0.00,0.00,0.00,0.00,324000.000000,0.00,False,
02316,6000.000000000,0.000000000,6.000000,0.00,0.00,0.00,0.00,36000.000000,0.00,False,
02317,35.000000000,0.000000000,160.000000,0.00,0.00,0.00,0.00,5600.000000,0.00,False,
02319,2500.000000000,0.000000000,9.500000,0.00,0.00,0.00,0.00,23750.000000,0.00,False,
02320,8000.000000000,0.000000000,10.000000,0.00,0.00,0.00,0.00,80000.000000,0.00,False,
02321,29000.000000000,0.000000000,20.000000,0.00,0.00,0.00,0.00,580000.000000,0.00,False,
02324,60.000000000,0.000000000,170.000000,0.00,0.00,0.00,0.00,10200.000000,0.00,False,
02341,600.000000000,0.000000000,30.000000,0.00,0.00,0.00,0.00,18000.000000,0.00,False,
02359,800.000000000,0.000000000,30.000000,0.00,0.00,0.00,0.00,24000.000000,0.00,False,
02361,1050.000000000,0.000000000,30.000000,0.00,0.00,0.00,0.00,31500.000000,0.00,False,
02398,300.000000000,0.000000000,20.000000,0.00,0.00,0.00,0.00,6000.000000,0.00,False,
02399,300.000000000,0.000000000,20.000000,0.00,0.00,0.00,0.00,6000.000000,0.00,False,
02420,10.000000000,0.000000000,150.000000,0.00,0.00,0.00,0.00,1500.000000,0.00,False,
02433,4224.000000000,0.000000000,150.000000,0.00,0.00,0.00,0.00,633600.000000,0.00,False,
